timestamp,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf
2026-09-15 22:17:32.905479,467.796142578125,420.31878662109375,0.8965170383453369,519.7479248046875,480.0,0.0841234028339386,486.5697326660156,464.4639587402344,0.06779274344444275
2026-09-15 22:17:33.195409,464.0184326171875,406.03729248046875,0.9040911793708801,526.3984985351562,480.0,0.08465026319026947,491.92230224609375,469.5679931640625,0.06825673580169678
2026-09-15 22:17:33.354702,464.70086669921875,406.32708740234375,0.9000415802001953,527.4375610351562,480.0,0.0823570191860199,492.46466064453125,468.3747863769531,0.06839119642972946
2026-09-15 22:17:33.516492,464.2071838378906,408.7442626953125,0.8943346738815308,526.2601928710938,480.0,0.07526319473981857,491.99725341796875,467.82098388671875,0.06421229243278503
2026-09-15 22:17:33.631490,465.2425842285156,409.5611572265625,0.8970929980278015,529.0150146484375,480.0,0.07163174450397491,494.87744140625,468.9949951171875,0.05991208180785179
2026-09-15 22:17:33.740162,465.04742431640625,410.1101989746094,0.8948183655738831,527.4639892578125,480.0,0.07249028980731964,491.38751220703125,467.60260009765625,0.06274167448282242
2026-09-15 22:17:33.856853,465.4710388183594,408.34613037109375,0.8962143063545227,527.396728515625,480.0,0.07099936157464981,491.76019287109375,466.1217956542969,0.0619652234017849
2026-09-15 22:17:33.972608,463.96856689453125,408.172607421875,0.896149754524231,525.8348999023438,480.0,0.07706428319215775,488.4211120605469,466.7025451660156,0.06697127223014832
2026-09-15 22:17:34.082918,464.3395690917969,407.6479797363281,0.8987628221511841,528.0230102539062,480.0,0.07741564512252808,489.7713623046875,470.1495361328125,0.06588442623615265
2026-09-15 22:17:34.188270,463.7983703613281,408.0035705566406,0.902187705039978,529.2406005859375,480.0,0.08052710443735123,494.274169921875,467.62603759765625,0.06786798685789108
2026-09-15 22:17:34.295822,466.010498046875,409.0203857421875,0.8933634757995605,528.337646484375,480.0,0.0687658041715622,490.48236083984375,468.67059326171875,0.057701271027326584
2026-09-15 22:17:34.401366,463.4805908203125,406.9945068359375,0.8992302417755127,527.3582763671875,480.0,0.07673253118991852,490.964599609375,469.66693115234375,0.061361391097307205
2026-09-15 22:17:34.508761,461.99755859375,406.77789306640625,0.8988029360771179,526.3726196289062,480.0,0.07971442490816116,494.12225341796875,468.3401794433594,0.0659303218126297
2026-09-15 22:17:34.606458,463.84912109375,406.651611328125,0.9040810465812683,528.3778076171875,480.0,0.08380908519029617,495.81500244140625,469.3811950683594,0.06937699764966965
2026-09-15 22:17:34.715638,463.3892822265625,407.1748352050781,0.9146718978881836,522.6611328125,480.0,0.10234949737787247,487.20751953125,467.6363220214844,0.08163280785083771
2026-09-15 22:17:34.821238,465.64813232421875,402.69073486328125,0.8866894245147705,524.0689086914062,480.0,0.07609029114246368,501.1604919433594,471.15771484375,0.06281014531850815
2026-09-15 22:17:34.926208,464.8997802734375,405.30438232421875,0.9236559271812439,522.0960693359375,480.0,0.11247863620519638,481.41180419921875,470.133544921875,0.08367345482110977
